Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
13096,김수환,1998년 03월 20일,우투우타,부평구-재능중-제물포고,18 넥센 2차 5라운드 48순위,2022,키움,24,1B,57,-0.06,-0.15,168,165,140,18,25,6,0,4,43,14,0,0,21,3,0,56,0,3,1,0.179,0.297,0.307,0.604,0.086,75.4,-0.21
13096,김수환,1998년 03월 20일,우투우타,부평구-재능중-제물포고,18 넥센 2차 5라운드 48순위,2023,키움,25,1B,50,-0.01,-0.15,114,113,97,8,21,4,0,2,31,15,0,0,11,4,0,36,1,1,1,0.216,0.319,0.32,0.639,0.097,82.8,-0.17
13104,이재원,1999년 07월 17일,우투우타,석교초-경원중-서울고,18 LG 2차 2라운드 17순위,2021,LG,22,RF,62,0.35,0.38,171,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,0.106,92.4,0.73
13104,이재원,1999년 07월 17일,우투우타,석교초-경원중-서울고,18 LG 2차 2라운드 17순위,2022,LG,23,DH,85,1.46,-0.21,253,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.137,121.6,1.25
13104,이재원,1999년 07월 17일,우투우타,석교초-경원중-서울고,18 LG 2차 2라운드 17순위,2023,LG,24,LF,57,0.17,-0.13,129,128,112,15,24,5,0,4,41,18,4,2,12,2,2,40,1,0,3,0.214,0.295,0.366,0.661,0.091,80.4,0.05
13109,송찬의,1999년 02월 20일,우투우타,화곡초-선린중-선린고,18 LG 2차 7라운드 67순위,2022,LG,23,2B,33,0.3,0.12,78,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1,0.236,0.282,0.417,0.699,0.105,96.7,0.42
13109,송찬의,1999년 02월 20일,우투우타,화곡초-선린중-선린고,18 LG 2차 7라운드 67순위,2025,LG,26,RF,66,-0.06,0.1,166,165,147,18,31,9,1,3,51,20,2,2,9,8,0,49,4,1,1,0.211,0.291,0.347,0.638,0.087,74.1,0.03
13112,문성주,1997년 02월 20일,좌투좌타,포철서초-포철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2021,LG,24,CF,31,-0.15,0.28,89,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,0.228,0.303,0.278,0.581,0.07,59.7,0.13
13112,문성주,1997년 02월 20일,좌투좌타,포철서초-포철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2022,LG,25,DH,106,2.47,0.7,390,380,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.161,145.6,3.17
13112,문성주,1997년 02월 20일,좌투좌타,포철서초-포철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2023,LG,26,LF,136,2.98,0.72,534,528,449,77,132,21,4,2,167,57,24,14,67,8,0,34,10,6,4,0.294,0.392,0.372,0.764,0.146,129.1,3.69
13112,문성주,1997년 02월 20일,좌투좌타,포철서초-포철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2024,LG,27,LF,96,1.93,0.56,361,360,305,47,96,16,2,0,116,48,13,7,49,3,0,38,4,1,3,0.315,0.411,0.38,0.791,0.158,120.8,2.49
13112,문성주,1997년 02월 20일,좌투좌타,포철서초-포철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2025,LG,28,RF,135,2.31,0.31,542,542,475,57,145,20,2,3,178,70,4,3,54,4,0,59,10,0,9,0.305,0.375,0.375,0.75,0.135,115.1,2.61
13113,한준수,1999년 02월 13일,우투좌타,광주서석초-광주동성중-광주동성고,18 KIA 1차,2023,KIA,24,C,48,0.34,0.2,94,93,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,0.104,89.2,0.54
13113,한준수,1999년 02월 13일,우투좌타,광주서석초-광주동성중-광주동성고,18 KIA 1차,2024,KIA,25,C,115,1.71,-0.12,316,316,287,39,88,22,0,7,131,41,0,0,21,2,1,48,7,0,6,0.307,0.351,0.456,0.807,0.141,105.2,1.59
13113,한준수,1999년 02월 13일,우투좌타,광주서석초-광주동성중-광주동성고,18 KIA 1차,2025,KIA,26,C,103,0.98,-0.32,276,276,244,33,55,12,1,7,90,26,0,0,26,3,1,48,4,0,3,0.225,0.304,0.369,0.673,0.1,85.3,0.66
13128,최준우,1999년 03월 25일,우투좌타,방배초-대치중-장충고,18 SK 2차 4라운드 35순위,2023,SSG,24,2B,38,0.06,0.31,69,69,60,5,16,1,0,0,17,6,0,1,8,0,0,10,3,0,1,0.267,0.348,0.283,0.631,0.096,80.1,0.37
13128,최준우,1999년 03월 25일,우투좌타,방배초-대치중-장충고,18 SK 2차 4라운드 35순위,2025,SSG,26,LF,78,-0.12,-0.17,192,189,152,17,29,0,0,3,38,22,2,0,30,3,0,47,3,3,4,0.191,0.328,0.25,0.578,0.09,73.3,-0.29
13137,정은원,2000년 01월 17일,우투좌타,상인천초-상인천중-인천고,18 한화 2차 3라운드 24순위,2021,한화,21,2B,139,4.99,-0.4,608,604,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3,0.283,0.407,0.384,0.791,0.159,132.1,4.59
13137,정은원,2000년 01월 17일,우투좌타,상인천초-상인천중-인천고,18 한화 2차 3라운드 24순위,2022,한화,22,2B,140,3.78,-0.57,601,597,508,67,139,20,2,8,187,49,10,6,85,1,0,109,10,4,3,0.274,0.377,0.368,0.745,0.135,116.7,3.21
13137,정은원,2000년 01월 17일,우투좌타,상인천초-상인천중-인천고,18 한화 2차 3라운드 24순위,2023,한화,23,2B,122,0.86,-0.09,459,453,388,50,86,12,0,2,104,30,6,3,62,3,1,73,4,5,1,0.222,0.333,0.268,0.601,0.089,76.1,0.76
13137,정은원,2000년 01월 17일,우투좌타,상인천초-상인천중-인천고,18 한화 2차 3라운드 24순위,2024,한화,24,LF,27,-0.03,0.09,78,77,64,10,11,3,1,1,19,6,2,0,13,0,0,16,0,1,0,0.172,0.312,0.297,0.609,0.088,64.6,0.06
